ItemName_Base.TatteredPaper = "Tattered Paper",
UI_ImmersiveLore_Story_19_Content = "Hey there!\n\nSo, I find myself in a bathroom during the zombie apocalypse. It's quite a sight, let me tell you. I never thought I'd be writing a letter while sitting on a toilet seat, but desperate times call for desperate measures, right?\n\nFirst things first, let me assure you that this bathroom is fully stocked with toilet paper. Yes, you heard that right! I hit the jackpot in the midst of chaos. It's like winning the lottery, except the prize is soft and absorbent.\n\nNow, don't get me wrong, surviving the zombie apocalypse is no joke. But there's something oddly hilarious about trying to take care of business while the world is falling apart outside. You know, finding humor in the absurdity of it all.\n\nI've had to come up with creative strategies to distract myself from the moans and groans of the undead roaming around. Counting tiles on the wall, playing toilet paper basketball, or even having conversations with myself to maintain some form of sanity. It's a one-person sitcom in here!\n\nI must say, though, the bathroom has become my sanctuary. It's the one place where I can escape the chaos, even if only for a few minutes. The porcelain throne has become my throne of solitude and contemplation. Who knew the bathroom would become my fortress of calm in a world gone mad?\n\nAs I sit here, contemplating the meaning of life and the importance of clean underwear, I can't help but wonder if future civilizations will dig up these bathrooms and ponder over the artifacts they find. Perhaps they'll think that this was some kind of secret communication chamber.\n\nAnyway, I hope this note brings a smile to your face. Remember, even in the most dire situations, it's important to find laughter. Life may be messy right now, but at least I have a toilet seat to keep me company.\n\nStay safe out there, and may your toilet always be stocked with the finest of paper.\n\nFlushingly yours,\n\nKyle",
UI_ImmersiveLore_Story_19_Title = "Toilet Troubles",
UI_ImmersiveLore_Story_1_Content = "*The handwriting on the page is blurred and smudged on different areas, as if the writer's teardrops fell on the page as they wrote*\n\nMy dearest Ava,\n\nI am writing this letter to you with a heavy heart, knowing that it may never reach you. I was bit, and I am not sure how much time I have left. All I can do now is express my deepest regrets and apologies for the way things ended between us.\n\nI can't help but think about all the times I let my work consume me, and how I let it get in the way of our relationship. I should have made more time for you and our family. I should have fought for us, instead of running away from our problems. I know that my actions have hurt you deeply, and for that, I am truly sorry.\n\nAs I sit here, alone and afraid, I can't help but think about all the moments we shared together. The way your laugh lit up my world, the way your touch made my heart race. I regret not cherishing those moments more, and not being the husband and father that you deserved.\n\nBut most of all, I regret leaving you when you needed me the most. I should have been there to hold you, to protect you, and to keep you safe. Instead, I left you to face this horror alone. And for that, I am truly sorry.\n\nI wish I could turn back time, to fix things between us, but unfortunately, it's too late. All I can do now is pray that you are safe. Please know that I love you, and I will love you until my dying breath. I hope that one day you can forgive me, and th--\n\n*The writing becomes increasingly faint and difficult to read as the letter comes to an end, the words barely legible. The letter ends abruptly*",
UI_ImmersiveLore_Story_1_Title = "Dear Ava",
UI_ImmersiveLore_Story_20_Content = "ROGERS AND CAMPBELL DEAD. REST ARE INJURED.\nEVACUATING BUT THEY'RE EVERYWHERE.\nDYLAN IF YOU FIND THIS PLEASE TAKE CARE OF MY WIFE\nSHE'S JUST PAST THE BRIDGE",
UI_ImmersiveLore_Story_20_Title = "FOR DYLAN",
UI_ImmersiveLore_Story_21_Content = "we need meds bad, antibiotics preferred but anything you can find will help. please dont take too long.\nlove you xoxo",
UI_ImmersiveLore_Story_21_Title = "Need Medical Supplies!",
UI_ImmersiveLore_Story_22_Content = "Hey Bob - I'm sorry, but your dog wouldn't shut up no matter what we did. We decided to let him loose in the woods. The noise made it too late to save the house so we packed up and moved to the other side of town. We're okay though. Use your walkie-talkie to find us and be careful.\nAgain, I'm so sorry it had to be like this. Please don't look for him, you'll only get yourself killed.",
UI_ImmersiveLore_Story_22_Title = "Bob's Dog",
UI_ImmersiveLore_Story_23_Content = "to anyone who stumbles across this, we went to the river and we'll be back by the 14th. we humbly ask you to leave our things how they are and not take anything. there's many other places to loot.\nthank you. -the morrisson family",
UI_ImmersiveLore_Story_23_Title = "The Morrisson Family",
UI_ImmersiveLore_Story_24_Content = "There it is again. That uneasy feeling of dread is washing over this house. Windows are all covered and boarded, and what little light can crack through the boards? It lights up a mirror; my face is on there. Why am I so pale?\n\nThe neighbors-oh, I hear them alright-are scrambling about like cockroaches, stocking up their vehicles with whatever they can carry. Why do they try? Don't they see that there is no hope?\n\nIt doesn't matter; I must take care of my sister. She is always hungry, always biting at the air. Our poor housecat became her dinner last night. Most would think me insane, but she is my sister. She is sick; it will pass.\n\nI managed to snatch our neighbors dog before they left in a hurry. They did not even bother looking for their pet; they were too afraid of inevitability, I suppose, and had no time to find a mere mutt.\n\nHas it been a week or two? I don't remember. Oh, and she still screams. Again. Wanting... more. There is nothing left to give her. Wait, Is that a dead child on the porch?\n\nIt's been a month now. I'm hungry and thirsty. She has been quiet for some time in her bedroom.\n\nPerhaps I should check on her...",
UI_ImmersiveLore_Story_24_Title = "She only wanted more",
UI_ImmersiveLore_Story_25_Content = "I believe it was a week before the evacuation order was issued for Knox County. The surrounding air was awful to the nose, as if a field of cows had died and rotted away somewhere in this god-forsaken land. My wife, Hannah, wanted to stay here in our new home in Rosewood, despite the smell. I prepare my morning routine of waking up the kids for school and showering for work as if it were any other day. Though, at the time, we did not know any better.\n\nThree days later, our neighbors can be seen packing in a hurry, as if we were at war. Well, the man in that house is a military man; surely he must know something. As I approached him and asked, he only replied with a chilling word and a stern look, "Pack up and leave now". Before I could even ask any further questions, the man simply drove off with his family in such a hurry that I'm surprised he wasn't stopped by a police officer for breaking at least a few dozen traffic laws. Hannah saw everything from the kitchen window, waving at me as if asking what had just happened. I walked back into the house and talked to her.\n\nToday, after my morning routine and an argument with Hannah on the topic of how we should have left the same day as that family did, the television goes blank, along with the colored bars and emergency sounds. A broadcast from the U.S. military is played, ordering citizens to evacuate the state as soon as possible. Chaos unfolded in the neighborhood that morning. Military infantry and vehicles flooded the streets, and jets flew by. The ground shook often, as if they were aftershocks of an earthquake.\n\nWithout hesitation, I ordered Hannah to get the kids and pack the essentials. She argues with me still, wanting to stay. I had to slap her; never had I done that to my wife, but this was serious. After calming her down, I instruct her once again, "Grab the kids and pack clothes, food, and water". I rush upstairs to grab my registered Beretta M9 pistol; hopefully I don't need to use it on anyone. I hear gunshots outside the window, my god... A firefighter just smashed someone's head in with a crowbar!\n\nHannah is waiting at the front door with me and our two kids. The children are scared and asking dozens of questions, which I ignore and order everyone to get inside the car. As far as I can remember, we were leaving the neighborhood and heading onto the highway to Louisville, as they have a military safe zone there. The explosions, the screams, the blood, the carnage, and then... nothing. Just silence and the sounds of a car horn endlessly going off.\n\nNow, I'm here in a crushed car, my children dead on impact. And Hannah, oh Hannah, Gnawing away at their corpses. I write this with my only good hand; hopefully someone out there finds this and buries my family... What's left of them, at least.\n\nI suppose I did end up killing someone in the end with this pistol. God bless Amer-\n*The end of this paper sheet is covered in blood and hair.*",
UI_ImmersiveLore_Story_25_Title = "We should have left",
UI_ImmersiveLore_Story_26_Content = "James, im sorry to tell you this but your dog Maxie passed away.\n\nI dont know what happened to him, but last week he just randomly got ill. He didnt move around much and i swear he was drooling when he sees my neighbour. Yesterday, i took him to the vet, but he died on the way there man. I know how much he meant to you, hes been with you ever since we met back in Bolton.\n\nIf you want to keep your mind off of him, i can drive you to the burger joint in Riverside. I will be buying.\n\nTake care mate.\n-Michal",
UI_ImmersiveLore_Story_26_Title = "James Please Read",
UI_ImmersiveLore_Story_27_Content = "blood needs cold water, not hot to wash out\ninstall industrial showerhead later\nboil clothes for sanitary reasons",
UI_ImmersiveLore_Story_27_Title = "An Almost Bathroom Haiku",
UI_ImmersiveLore_Story_28_Content = "they all got sick, they all died, and i couldnt help any of them -\nfor a few days i felt guilty but then i realized i was glad to be free of them, of all of it.\nwe all deserved this. the whole thing needed to come down.",
UI_ImmersiveLore_Story_28_Title = "Grimy paper",
UI_ImmersiveLore_Story_29_Content = "genny\nbette trailer\nduct tape\nwire\ncircuits\nmagazine\ncanned foods\nlumber + more nails\nwhiskey",
UI_ImmersiveLore_Story_29_Title = "Dog-Eared Shopping List",
UI_ImmersiveLore_Story_2_Content = "The world as I knew it has ended. I never thought the virus that had been making headlines for weeks would reach me, not here, not now. But it did, and it brought with it an unimaginable horror.\n\nI remember sitting in my hotel room, flipping through channels, trying to distract myself from the unease that had been building inside me for days. And then I heard it, the screams. At first, I thought it was just some kind of accident, but as the noise grew louder and more frantic, I knew something was very, very wrong. I peered out the window and what I saw will haunt me forever.\n\nPeople, my neighbors, running, panicked, and behind them, the dead, risen, hunting. My heart raced as I slammed the window shut and locked it tight. I knew then that this was the end of the world. And I was trapped in a hotel room with only a few supplies, and no idea of what to do next.\n\nI'm writing this now, with shaking hands, tears streaming down my face, knowing that I might not make it out of this alive. But I have to try. I have to fight.",
UI_ImmersiveLore_Story_2_Title = "Goodbye",
UI_ImmersiveLore_Story_30_Content = "In the morning, I sat with him and watched the dawn. The smell had cleared, the sun shone on emerald grass. My husband will never share another sunrise with me, at least not until we meet on the opposite shore. I understand that it would be a sin to simply end it now, the easy way. There is still time I have to spend on this earth, I just wish I could understand why. I've prayed on it every night, prayed every morning. Waited. There was no rescue, there was no deliverance. He's buried somewhere nice, and though I know I should be at peace it still hurts so bad. Don't know if I'm being tested. It feels like I've been abandoned by the world itself. -Sophie",
UI_ImmersiveLore_Story_30_Title = "Water-Blotted Letter",
UI_ImmersiveLore_Story_31_Content = "Things Kevin Isn't Allowed To Do:\n\nbreak windows\nyell about exciting discoveries\nuse the walkies for chat\nborrow andy's car\ncomplain about the transportation situation\nborrow anyone else's car\nsiphon or transfer gas, especially from other people's cars\nborrow anyone else's stuff\nborrow anything that doesn't have kevin's name on it\nwrite his name on other people's stuff\neven if he pretends not to see the other persons name first\nuse the stove\ncomplain about the food\nuse the microwave\nput himself in charge of most stuff - actually anything\never mention safehouse location on the walkies\nplay with the lamps\ninvite 'babes' over to 'preserve the future of the species'\nopen the safehouse to strangers\ntell raiders if your friends have valuables on them\ntell raiders 'Come back soon y'all!'\neat food that isn't his\nnot work for days at a time\ncomplain about the weather\nuse heavy rifle ammunition on tin cans for 'target practice'\nno lighting fires of any kind, ever\npropose elections, change in group organization/attempt coup\ndrive\nread a map\nread instructions\nuse a power drill",
UI_ImmersiveLore_Story_31_Title = "Hastily-Amended List",
UI_ImmersiveLore_Story_32_Content = "Keith, the Military lifted the roadblocks. They are apparently pulling back to form another quarantine line. Hopefully I can get me and Jason across before they lock down the border again and get him to a Hospital. If I don't come back we either got through or they caught us. I'm sorry but I couldn't wait for you. Jason is getting worse and worse and he needs professional help; the Antibiotics weren't helping. Use whatever you were able to scrounge up while you were gone and stay safe. Remember to keep the windows and doors covered; also be sure to lock them. Try to conserve the food left in the house. The MOST important thing though is to avoid the sick; don't make noise or draw their attention. I'll try to find a way to get in contact with you to let you know we made it and plan on getting you out too.\n-Lilith",
UI_ImmersiveLore_Story_32_Title = "Sorry Keith",
UI_ImmersiveLore_Story_33_Content = "To whoever finds this I worked Logistics for the Military Force trying to contain the infection ravaging Knox Country. We are currently pulling out of this Sector, however we are leaving a good bit of gear behind. If you are here that means you are looking for items to help in your survival in our absence. In our failure here is my gift to you:\n\nThis legal document authorizes the civilian in its possession the authorization to acquire and make use of any and all gear abandoned at this Military Facility to aid in their survival. If we are able to retake the Sector and re-establish control make sure to hand them this document to show you are not a looter and have been approved to make use of this equipment under my authority.\n\nThey may ask for it back but you won't go to jail for it. I hope we succeed in our goal and can save everyone in Knox Country before you can find this message.\n-Sgt. Major Douglas",
UI_ImmersiveLore_Story_33_Title = "Military Logistics Sheet",
UI_ImmersiveLore_Story_34_Content = "I don't know what I'm going to do now. Never should've let Debbie and that creep pick me up. I just wanted to get out so bad, I guess I can't judge driving high, or drunk, or whatever.\n\nAt least I wasn't doing sixty when I hit stuff...\n\nMy chest hurts so bad. Dragged myself this far without getting spotted, but the crash was so LOUD! God, Debbie.. I can't believe what's happening out there. I'm so sorry. I'm so afraid.\n\nI can't even take a deep breath. I just wish I could take a deep breath! Maybe writing more will help. Just gotta find some more paper. And a decent bandage, and maybe something to take the edge off...",
UI_ImmersiveLore_Story_34_Title = "it isn't working",
UI_ImmersiveLore_Story_35_Content = "Dale, things are looking a bit nasty out there. Lots of people are starting to get ill and I think they'll start to panic. If you left your house before I could get to your place and come in for work be sure to double check all the locks on the doors and shudders. Last thing we need is some scared nutcase stealing one of our guns and waving it around the emergency room. After you lock everything down go home to your family; you'll get a full day's pay. Stay safe.\n-Bill",
UI_ImmersiveLore_Story_35_Title = "Crumpled Gun Store Note",
UI_ImmersiveLore_Story_36_Content = "Hey, Looter! I poisoned one of the cans in my kitchen! Have fun trying to figure out which one it is! Get bent!",
UI_ImmersiveLore_Story_36_Title = "Don't Touch My Food!",
UI_ImmersiveLore_Story_37_Content = "Name And Title:\nPhilip Morison - IT Team Member\n\nRequested Day(s) Off:\nJanuary 19th, 1994 - January 25th, 1994\n\nPaid or Unpaid Time Off:\nPaid\n\nReason For Time Off:\nI am putting in an advanced request for time off to take a trip to Irvine, CA to visit family. Jonathan has been well trained to handle day to day issues and I will make sure back up systems are in place for more serious issues.\n\nApproved: Y\nApproved/Denied By: Pendle Higgins\nNotes By Management:\nDidn't know you had family out West. Be sure to add more than one backup before your trip (You know how Bob is with the copy machine). Make sure to take some photos while you're out there for us at the office to see!",
UI_ImmersiveLore_Story_37_Title = "Time Off Request",
UI_ImmersiveLore_Story_38_Content = "Thursday 7/6/1993\n4:32 PM\n\nTalon was supposed to get out of prison two days ago, and now it's going on day three. He was supposed to call me when he's ready to be picked up. This timing could not be any worse... I've been trying to get in touch with someone on the phone but nobody is answering. I'm terrified that the worst may have happened - that he was left to die in his cell or something. I have no way of getting over there with everything going on and even if I did, I doubt they would let me in. News says to stay indoors... I feel so helpless and angry. Everything that's going on would be a little easier if I were with him.\n\nThursday 7/6/1993\n11 PM\n\nI can't sleep... the news hasn't changed since my last entry. I'm sitting here in the light of my TV and they just keep repeating the same stuff, so I'm starting to wonder if it's even live any more. This news lady on the screen could already be dead and here I've been, listening to her BS. I feel so guilty sitting here waiting for an update, so I've accepted that I have to take things in to my own hands. It's what you do for the people you love - even if you're scared. I am very scared, but that's my best friend and he may need my help. This will be my last entry before heading to the prison at dawn.",
UI_ImmersiveLore_Story_38_Title = "Nobody Is Answering",
UI_ImmersiveLore_Story_39_Content = "November 17th, 1993\nI'm Marcus, and this is my cabin. I live out in the wilderness of Kentucky with my trusty companion, Rust. He's a great dog. When I heard the chaos unfolding in Kentucky, I knew right away what I had to do. After all, I have no family or friends to worry about. As my job required me to keep an eye on wildlife and people. But, thanks to my training, I am able to fend for myself out here. As long as nature provides.\n\nNovember 19th, 1993\nI was out foraging this morning when I noticed two of those things slowly making their way towards my cabin. What could have drawn them there? Perhaps Rust? I took them out quietly with a shovel, as I did not want to use my hunting rifle. In case there were more of them. Rust was nowhere near the cabin, but instead out in the forest hunting squirrels, it seems. Leaving the foraged food inside, I check the corpses for anything useful and bury them at least 30 feet away from here.\n\nNovember 28th, 1993\nToday I scored a fair game. A deer. It'll be good to stock up on venison for the winter. However, I'll have an extra mouth to feed. I found this frightened little girl in the forest. This poor child was all alone, dirty, and in ragged clothing. How did she manage to survive all alone out here? It did not matter; I took her in and showed her where she could clean herself up. It's a good thing I had extra clothes lying around from campers who abandoned their belongings in the woods. I fed her soup and sat her by the antique stove to keep her warm. She told me she was only six years old. How cruel can the world get?\n\nDecember 13th, 1993\nAlice-yes, that is her name. She told me a few days later, after she was able to speak properly. She looks healthier now, but her night terrors are still an occurrence. I do my best to take care of her. She keeps good company with Rust. At least I know I can count on him to keep her safe. Often, when I leave to forage or hunt, I remind Alice what to do in case of an emergency as well as to always stay near the cabin. We're short on salt, which is needed for meat preservation. A trip to nearby farm houses shouldn't be too dangerous, as they're far from any major city or town. Other than Ekron.\n\nDecember 14th, 1993\nYesterday, after my trip to acquire some salt and other supplies, I arrived home to find Alice running away in fear from three of those things chasing after her. I quickly got rid of them with my hunting knife and proceeded to clam Alice down. After a few minutes, she explained where they came from. Evidently, some fools had camped up near a river, which makes noise. And since noise attracts these things, well, things did not end well for them, it seems. I think it's time for us to move deeper into the woods. I know of an abandoned cabin that hasn't been used by anyone for almost a decade. It will be far safer there than here. Today, I spent the day packing things up with Alice. Preparing for the journey ahead of us.\n\nDecember 15th, 1993\nMe and Alice are now leaving this cabin. She's been my home for years due to my job. But things aren't the same anymore, and I need to keep this girl safe at all costs. It is my duty as a man and as a ranger.\n\nTo whomever finds this small log of notes: I left one of my hunting rifles under the bed with as little ammunition as I could leave behind. There is enough water in the well, and the antique stove should keep you warm during the winter.\n\nAlice and I will be living deep in the woods, away from all this. I hope that one day this horror goes away.",
UI_ImmersiveLore_Story_39_Title = "A Ranger's Duty",
UI_ImmersiveLore_Story_3_Content = "Yesterday was the day he was gone from me, forever. It was supposed to be a pleasant and happy day of our wedding, however, it didn't end as it was intended. Things went crazy as "Infected" broke through and crashed the wedding. He was there to protect me and... he died for me. I still can't shake that feeling and sadness off. I ran away with tears running down from my eyes and a broken heart. I don't know what to do anymore but he died protecting me... Do I need to keep on living like this? Right? Just to make his sacrifice worth it. I need to stay alive...",
UI_ImmersiveLore_Story_3_Title = "Natalie's Journal - Act I: Broken Memory",
UI_ImmersiveLore_Story_40_Content = "Jim\nNatalie, please remember to stack the sacks of potatoes in the storage room next to the washer. We don't want the rats to eat up our stock of food.\n\nNat\nJimmy! I found us a cute puppy. I'm not sure how it survived, but we now have a cute pet!\n\nCharles\nThere is no need to have an extra mouth around. We are short on food as it is. Jimmy, don't forget to lock up the house every night before you go to bed. The last thing we need is for one of those things to come in here and make us their dinner.\n\nNatalie\nGuys, I managed to scavenge more food for us! I left a school backpack by the garage filled with canned food. And guess what? It was hope that found them. Yeah, his name is Hope, and he's a good boy!\n\nCharles\nJim, I'm not sure if you read the note I left behind last night. But you forgot to lock the door again, please be careful!\n\nJim\nSorry, man, I was busy listening to the HAM radio and thought I heard another group of survivors. I've been trying to communicate with them.\n\nJim\nI will be out late tonight. I think I found a nice stash of food the previous day. It seems safe, as there aren't any biters there.\n\n*The bottom of this note seems to be covered in blood, most of the content is unreadable or ripped to shreds; however, one line is visible enough to read.*\n\nNa-*blood*\nCharles! Oh god, please, if you read this, make sure to keep his bandages clean. Jim, that fool, came home last night bleeding all over the house with bite marks all over his left arm.\nI managed to stop the blee-*blood*\nI'm home right now. I left to get us more medical supplies. I'll meet you at th- (unreadable as the rest of this paper is missing).",
UI_ImmersiveLore_Story_40_Title = "Group Notes - Only The Important Stuff",
UI_ImmersiveLore_Story_41_Content = "To anyone who finds this sheet of paper. Know that I was not a bad person. I was just a survivor.\n\nIt has been almost a year since the outbreak occurred. I had to do things I'm not proud of to survive. Abandoned family, friends, and strangers of all kinds. Living in this apartment complex, I managed to stock up on supplies to the point that they are filling up my bedroom with things I've been collecting. Often, when I get out to scavenge at night, I can see those zombies just pacing about. I know, zombies-how cliche. But hey, this is the real deal. It has happened here in Kentucky, of all places! Why do I only go out at night? Because it seems to be safest from both people and zombies. As those things can't be clearly seen when it is completely dark. However, their sense of hearing is quite frightening.\n\nOften, I find groups of other survivors here in Louisville. All with the same goal in mind: to survive. Some are good, and some are just plain horrible.\n\nOne night, I had no choice. It wasn't my fault; I know I shouldn't have, but I had no choice! I was stupid enough to infiltrate another group's stash house. because I thought they weren't home. This group isn't the greatest of people or the brightest. They often harass or, on rare occasions, kill other survivors for their supplies. Anyway, here I was, inside, and I managed to picklock their backdoor with ease. It was dark; that's smart. They kept their lights off. However, my eyesight is fair in the dark. A few doors down, I found their stash, and I packed up what I could take with me. Make sure everything is as it should be. I lock the door as if no one has ever passed by. That was when I heard someone crying at the door next to their stash. I opened it, and inside was a woman who was chained to a pipe. She notices me and begins to panic. I do my best to calm her down. However, I heard gunshots downstairs and something along the lines of "Shit, they're insidious, Carl, get the fucking guns, man!", I knew then that the zombies had gotten inside their safe place. I couldn't free the woman. I had nothing on me, and I knew I had little time on my hands. With little to no choice, I chose to stay alive and safe. I apologized to her and closed the door, muffling her screams.\n\nI ran back home.\n\nNow, most of you will think of me as a suicidal monster. The world has gone to shit; everyone is out for themselves. Why should I care what others think? I want to survive. By any means necessary.\n\nA couple of days ago, I had to kill a teenage boy. Because he had spotted me looting a vehicle from another group. He was about to alarm his group when I stabbed him straight through his windpipe with my makeshift wooden spear. I did not hesitate, nor did I care. I needed to survive and wasn't going to let some little shit be the end of me. However, another set of eyes witnessed what I had done and screamed for help. A pack of wolves was soon upon me, a mere rat in their eyes. Luckily, I had some grenades I managed to snatch from a military vehicle a night ago. I removed the pins from a few of them and threatened to go with everyone. They couldn't see my face as It was covered with a bandana. So all they did was shout out names like "Damn filthy rat!". Let's just say I ended up leaving alive that day.\n\nLittle did I know that the boy's death would come back to haunt me.\nLiterally.\n\n(Bloody footprints are covering some of the words but are still readable.)\nbecause I sit here now. Writing this.\nThis morning, I thought of looting in broad daylight. A huge mistake, I know. A rat going out in the morning instead of the night. That same group was looting one of my favorite hotels for supplies. I snuck up behind one of them and slit their throat. It was a young woman. The others had left already, it seemed to me. So I began to loot the place and her body. Who the fuck knew that these freaks would carry around their dead like pets? This undead motherfucker snuck up behind me, taking a chunk from my neck. It was the kid that I had killed days ago.\n\nShit luck, am I right? Well, I know I won't live long now. Well, at least the next set of survivors that find my place will have something. Leaving my stash behind.\nDon't bother looking for me. I'll be long dead if I'm going to die. I'll die with those fuckers; I know where they eat and shit.\n\nTip to future survivors Don't get cocky like I did. It will cost you.",
UI_ImmersiveLore_Story_41_Title = "The Rat of Louisville",
UI_ImmersiveLore_Story_42_Content = "Attention survivor,\nIf you are reading this, it means you are still alive amidst this Hell. I write this note to warn you about the Knox Event and its sinister origins. SPIFFCO, the restaurant chain, is the root cause of this nightmare. Their establishments have been spreading a mysterious illness, turning people into the undead horrors that now roam the streets.\n\nI fear that I too have fallen victim to their vile scheme. The food they claim is beef seems far from it, and I suspect there's something much darker hidden within their meals. It is crucial to avoid consuming anything from SPIFFCO if you wish to stay alive and uninfected.\n\nStay vigilant and trust no one. The world we once knew has become a living nightmare, and the only way to survive is to remain cautious and resourceful. If you encounter others, be careful whom you trust, as the virus may have already taken hold of them.\n\nWe must find a way to fight back against this darkness and restore humanity. Share this warning with anyone you can, as information may be our greatest weapon against this zombie apocalypse.\nStay strong and keep hope alive.",
UI_ImmersiveLore_Story_42_Title = "Spiffo",
UI_ImmersiveLore_Story_43_Content = "Its been about 14 days in Rosewood, had to kill some infected just to be able to get me some cans of food and coffee, not looking too good in my end. Writing this helps me release myself and i hope that if i die, my canned goods can be used to help someone else.\n\n*The bottom part of the paper is heavily crumpled and the handwriting is messy, almost as if it was written on a rush*\n\nYou will not believe me what ive just seen, some guy was running out of this store laughing his ass off whilst he was throwing bananas at this one zombie. Bananas! Now I admit, it was funny as hell when the zombie just fell on its back and smashed its head against the wall faster than i could count, but i knew i couldnt stay out here for long-\n\n*The front side of the paper ran out of space, you flip the paper to the back and the handwriting is now relaxed and you wont have to squint to read it now. There is a slight banana smudge on the right side*\n\nMan, those bananas were pretty good to be honest. Guy sure knows his stuff!",
UI_ImmersiveLore_Story_43_Title = "Slippery Story",
UI_ImmersiveLore_Story_44_Content = "Uncle Bob, the phone lines are still down, so it's just letters from me for the time being. Just wanted to let you know that I'm okay, despite everything that's been going down these past few days. I normally wouldn't have this much time to write, but our wing's on lockdown today. Can't separate the truth from the con talk these days, but what I do know is some sicko was caught eating his cellmate. We all saw the guy, covered in blood and grayer than the cold, hard concrete beneath our toes, getting wheeled out by the COs strapped to those chairs that they put Hannibal Lecter in. Yeah, straight out of the Silence of the Lambs movie, mask and all. I didn't know they actually had stuff like that! If he ever leaves the hole, which I sure as hell hope he doesn't, he'll be taking the nickname "Hannibal the Cannibal" to his grave. At least I have my trial date coming up this Friday; maybe the appeal will finally go through and you and I will get to hang out and go fishing again like the good old days. They keep delaying it, though, probably because of this new bug everyone's so afraid of now. I think it's another one of those bird flu things they sometimes talk about on TV; it's bad enough that they've\neven got the army enforcing a quarantine around all of Knox County. Some cons in here are swearing on their own mothers that they knew so-and-so who caught this mystery bug, and that now they're in and out the infirmary running a really nasty fever. I wish they were lying, but more and more guys in here have been getting sick lately. Even a few COs are clocking out early saying they've got the "Knox bug". And you won't believe the kind of rumors this one nutjob is spreading around here about it. The guy's saying old Hannibal had the bug before anybody else, and that it's what caused him to lose his marbles and do what he did to his poor celly, like rabies or something. He rants on and on all night about how everyone who catches the bug is a ticking time bomb, and it's only a matter of time before we're all just like Hannibal the Cannibal. I told him he needed to stop taking everything he heard on KnoxTalk radio as the gospel of truth, and to zip it before someone less kind than myself landed him in the very same infirmary bed that all the sick folks are coughing, barfing, and vomiting all over. That sure as hell shut him up.\n\nIt's been four or five hours now, and the lockdown still hasn't been lifted. Apparently it's just our cell block anymore, but a total lockdown. Whatever's happening, I just hope the COs at least have the decency to serve us our lunches. Rumors are spreading wild now, and not just from the nutty guy. It seems everyone's got their own idea of why we're still on lockdown, and half of them are hiding under their pillows thinking that Hannibal broke loose and is coming back for seconds. You remember my cellmate, Hugh, the guy who does janitorial work around the jail? I've known Hugh going on for half a year, and he's not one to spout fairytales. He says he was mopping up when a CO, white like she'd seen the boogeyman, ran over and snatched the broomstick right out of his hands before hauling on back the way she came and jabbing it in between the handles of the canteen doors just before a whole lot of hands started banging on them from the other side. Hugh said that was about an hour before the lockdown started; he thinks somebody started a riot in there, and that's what's causing all this. Causing everybody else to miss their breakfast; selfish pricks. Poor Hugh's sick now, too; I just hope it's his seasonal allergies, and not that bug he's got. I'm going to try to get some shut eye. So damn anxious, though. This is going to be a long night. I hope this whole clusterfuck doesn't make me miss my court date.",
UI_ImmersiveLore_Story_44_Title = "Crisis behind bars",
UI_ImmersiveLore_Story_45_Content = "*Most of the writing would be covered in tears*\n\nDear Johnny,\n\nIt's me, Evan. I am not sure what happened to you and Eli out there in West Point as only Eli has returned and he sadly passed away 4 days ago on July 13th due to gun wound infection without having the chance to tell us what happened to you, and now he's dead but he was my brother.\nI will wait for your return one more day.\n\nJohhny, now I know why you haven't returned. Not because you're dead, not because you're infected, but because YOU KILLED MY BROTHER. The bullet we took out of him was YOUR GUN'S BULLET. You really thought WE were dead weight, SO YOU KILLED MY 14 YEARS OLD BROTHER.\n\nNow, I am a Christian man, but if I EVER find you, you will WISH you NEVER MET ME OR MY BROTHER. Pray, Johnny, because now you took away the only purpose I had. Now, IM COMING FOR YOU JOHNNY.\n\nYours HATEFULLY Evan\n\np.s. your wife's dead, Johnny.",
UI_ImmersiveLore_Story_45_Title = "For Johnny",
UI_ImmersiveLore_Story_46_Content = "Amy, do you love me?\n\nYes []\nNo [x]",
UI_ImmersiveLore_Story_46_Title = "To Amy",
UI_ImmersiveLore_Story_47_Content = "Louis took all the painkillers, don't bother searching here unless you really want to search deep in this place.\n-Francis",
UI_ImmersiveLore_Story_47_Title = "Don't bother searching",
